timestamp,zone_datetime,status,provider,code,zone_name,zone_carbon_intensity_avg,zone_carbon_intensity_unit
1659475804,2022-08-02T21:00:00.000Z,ok,azure,canadacentral,CA-ON,109,gCO2eq/kWh
1659477604,2022-08-02T21:00:00.000Z,ok,azure,canadacentral,CA-ON,108,gCO2eq/kWh
1659479404,2022-08-02T22:00:00.000Z,ok,azure,canadacentral,CA-ON,114,gCO2eq/kWh
1659481204,2022-08-02T22:00:00.000Z,ok,azure,canadacentral,CA-ON,117,gCO2eq/kWh
1659483003,2022-08-02T23:00:00.000Z,ok,azure,canadacentral,CA-ON,124,gCO2eq/kWh
1659484804,2022-08-02T23:00:00.000Z,ok,azure,canadacentral,CA-ON,121,gCO2eq/kWh
1659486604,2022-08-03T00:00:00.000Z,ok,azure,canadacentral,CA-ON,128,gCO2eq/kWh
1659488405,2022-08-03T00:00:00.000Z,ok,azure,canadacentral,CA-ON,119,gCO2eq/kWh
1659490204,2022-08-03T01:00:00.000Z,ok,azure,canadacentral,CA-ON,126,gCO2eq/kWh
1659492004,2022-08-03T01:00:00.000Z,ok,azure,canadacentral,CA-ON,126,gCO2eq/kWh
1659493804,2022-08-03T02:00:00.000Z,ok,azure,canadacentral,CA-ON,120,gCO2eq/kWh
1659495604,2022-08-03T02:00:00.000Z,ok,azure,canadacentral,CA-ON,107,gCO2eq/kWh
1659497404,2022-08-03T03:00:00.000Z,ok,azure,canadacentral,CA-ON,113,gCO2eq/kWh
1659499204,2022-08-03T03:00:00.000Z,ok,azure,canadacentral,CA-ON,97,gCO2eq/kWh
1659501004,2022-08-03T04:00:00.000Z,ok,azure,canadacentral,CA-ON,103,gCO2eq/kWh
1659502804,2022-08-03T04:00:00.000Z,ok,azure,canadacentral,CA-ON,68,gCO2eq/kWh
1659504604,2022-08-03T05:00:00.000Z,ok,azure,canadacentral,CA-ON,71,gCO2eq/kWh
1659506403,2022-08-03T05:00:00.000Z,ok,azure,canadacentral,CA-ON,68,gCO2eq/kWh
1659508204,2022-08-03T05:00:00.000Z,ok,azure,canadacentral,CA-ON,68,gCO2eq/kWh
1659510004,2022-08-03T06:00:00.000Z,ok,azure,canadacentral,CA-ON,31,gCO2eq/kWh
1659511804,2022-08-03T07:00:00.000Z,ok,azure,canadacentral,CA-ON,31,gCO2eq/kWh
1659513604,2022-08-03T07:00:00.000Z,ok,azure,canadacentral,CA-ON,22,gCO2eq/kWh
1659515404,2022-08-03T08:00:00.000Z,ok,azure,canadacentral,CA-ON,21,gCO2eq/kWh
