Africa-Cape-Town,Asia-Pacific-Hong-Kong,Asia-Pacific-Tokyo,Asia-Pacific-Seoul,Asia-Pacific-Osaka,Asia-Pacific-Mumbai,Asia-Pacific-Singapore,Asia-Pacific-Sydney,Canada-Central,DE,SE,IT-NO,IE,GB,FR,Middle--Bahrain,SA-São-Paulo,US-MIDA-PJM,US-MIDA-PJM,US-CAL-CISO,US-Oregon
08.24,268.36,358.0,385.25,364.33,163.54,214.39,411.38,225.31,160.26,178.46,186.7,158.09,149.26,155.06,173.23,338.3,223.12,234.33,292.31,278.27
264.18,02.47,53.37,38.6,46.34,99.6,42.06,135.11,194.49,197.57,217.44,189.42,222.44,212.07,206.24,130.32,308.02,195.34,182.37,154.1,143.36
361.34,53.22,4.5,34.56,11.38,131.21,73.39,110.56,145.25,225.48,245.38,217.3,203.51,212.41,217.12,163.54,258.38,146.43,133.01,109.34,99.28
389.36,39.12,35.08,03.27,30.42,134.11,76.08,146.46,173.23,233.24,252.18,225.15,231.02,239.41,246.28,166.53,286.05,174.44,162.22,137.02,127.17
367.09,46.11,10.5,30.25,02.58,124.16,71.09,119.6,151.25,227.13,246.31,218.21,209.0,218.04,223.24,155.09,263.55,152.39,138.29,110.24,100.21
167.21,98.36,131.36,134.29,124.15,02.56,59.25,150.27,189.18,121.19,140.54,112.56,123.16,114.02,107.04,38.03,302.14,187.28,197.43,231.28,221.03
217.24,42.08,74.07,76.56,72.03,59.35,02.51,94.17,211.3,157.24,177.36,148.48,181.05,171.5,165.31,89.07,324.48,214.33,200.06,177.01,168.23
415.09,134.01,110.38,146.24,120.17,149.57,94.05,03.59,198.41,256.38,296.01,240.37,257.23,266.11,279.34,180.39,313.06,199.02,188.14,139.32,140.59
228.04,194.13,144.43,173.03,150.13,189.07,210.36,198.26,03.39,91.46,109.13,101.38,70.09,78.53,84.57,163.2,126.04,15.47,25.13,80.26,66.18
163.5,197.33,225.08,233.46,225.36,120.08,158.09,256.27,93.11,04.15,23.11,12.13,25.57,16.5,10.7,88.39,206.26,91.26,100.53,151.25,146.56
181.06,216.46,244.03,253.02,245.04,140.11,178.09,296.14,109.27,22.25,04.06,31.16,42.24,33.05,30.21,108.33,218.02,110.26,119.9,176.31,163.33
188.06,188.11,216.37,223.8,216.55,112.13,148.38,240.08,102.22,12.09,31.45,02.35,35.4,26.04,19.41,88.7,215.38,100.37,110.25,160.18,156.18
162.13,222.39,202.14,230.12,209.04,123.33,180.57,257.15,70.15,27.06,43.04,35.4,02.35,13.13,19.07,98.09,178.36,68.35,78.23,139.17,125.06
152.49,211.31,210.54,239.06,216.17,114.18,171.47,266.26,79.15,18.05,33.43,27.14,13.11,03.44,10.16,88.51,188.05,77.35,86.56,147.4,134.16
157.38,204.4,217.22,245.21,222.46,107.03,165.29,279.37,85.42,12.22,31.02,20.12,19.18,11.07,03.23,82.17,198.48,83.07,93.05,143.41,140.26
155.59,132.23,163.46,168.16,155.4,38.09,89.16,182.21,164.14,87.52,108.22,90.11,97.18,88.36,81.36,02.25,276.7,162.06,171.36,222.51,218.11
340.21,307.17,258.32,286.39,265.26,302.12,324.57,313.02,126.4,205.58,218.11,215.33,179.09,189.02,198.23,277.09,04.08,116.46,126.1,177.27,181.29
228.33,195.01,146.36,174.09,152.26,187.42,215.54,199.16,16.29,91.11,113.36,100.16,68.0,77.06,83.03,162.25,116.11,5.0,14.16,63.07,69.27
239.02,182.36,133.26,161.37,139.21,198.24,201.08,188.31,27.17,101.34,124.32,110.46,78.21,87.32,93.39,173.28,126.42,15.07,05.24,54.25,56.06
295.29,153.31,108.22,136.44,109.31,231.12,176.4,139.07,80.25,151.28,176.39,160.07,139.08,147.18,143.39,221.35,176.26,62.32,51.7,03.35,22.12
282.17,143.26,99.04,126.34,99.14,221.06,167.31,141.06,66.26,146.34,163.36,156.36,125.04,133.7,140.04,217.52,180.5,69.13,54.09,22.12,03.03
