timestamp,datetime,carbon_intensity_avg
1634688000,2021-10-20 00:00:00+00:00,184
1634691600,2021-10-20 01:00:00+00:00,173
1634695200,2021-10-20 02:00:00+00:00,173
1634698800,2021-10-20 03:00:00+00:00,161
1634702400,2021-10-20 04:00:00+00:00,164
1634706000,2021-10-20 05:00:00+00:00,159
1634709600,2021-10-20 06:00:00+00:00,177
1634713200,2021-10-20 07:00:00+00:00,196
1634716800,2021-10-20 08:00:00+00:00,205
1634720400,2021-10-20 09:00:00+00:00,196
1634724000,2021-10-20 10:00:00+00:00,180
1634727600,2021-10-20 11:00:00+00:00,169
1634731200,2021-10-20 12:00:00+00:00,161
1634734800,2021-10-20 13:00:00+00:00,160
1634738400,2021-10-20 14:00:00+00:00,149
1634742000,2021-10-20 15:00:00+00:00,167
1634745600,2021-10-20 16:00:00+00:00,177
1634749200,2021-10-20 17:00:00+00:00,187
1634752800,2021-10-20 18:00:00+00:00,195
1634756400,2021-10-20 19:00:00+00:00,202
1634760000,2021-10-20 20:00:00+00:00,198
1634763600,2021-10-20 21:00:00+00:00,195
1634763600,2021-10-20 21:00:00+00:00,194
1634767200,2021-10-20 22:00:00+00:00,198
1634770800,2021-10-20 23:00:00+00:00,192
1634774400,2021-10-21 00:00:00+00:00,189
1634778000,2021-10-21 01:00:00+00:00,185
1634778000,2021-10-21 01:00:00+00:00,190
1634781600,2021-10-21 02:00:00+00:00,178
1634785200,2021-10-21 03:00:00+00:00,179
1634788800,2021-10-21 04:00:00+00:00,178
1634792400,2021-10-21 05:00:00+00:00,174
1634796000,2021-10-21 06:00:00+00:00,176
1634799600,2021-10-21 07:00:00+00:00,185
1634803200,2021-10-21 08:00:00+00:00,187
1634806800,2021-10-21 09:00:00+00:00,181
1634810400,2021-10-21 10:00:00+00:00,174
1634817600,2021-10-21 12:00:00+00:00,148
1634821200,2021-10-21 13:00:00+00:00,134
1634824800,2021-10-21 14:00:00+00:00,128
1634828400,2021-10-21 15:00:00+00:00,131
1634832000,2021-10-21 16:00:00+00:00,148
1634835600,2021-10-21 17:00:00+00:00,183
1634839200,2021-10-21 18:00:00+00:00,196
1634842800,2021-10-21 19:00:00+00:00,208
1634846400,2021-10-21 20:00:00+00:00,215
1634850000,2021-10-21 21:00:00+00:00,215
1634853600,2021-10-21 22:00:00+00:00,222
1634857200,2021-10-21 23:00:00+00:00,222
1634860800,2021-10-22 00:00:00+00:00,219
1634864400,2021-10-22 01:00:00+00:00,215
1634868000,2021-10-22 02:00:00+00:00,208
1634871600,2021-10-22 03:00:00+00:00,203
1634875200,2021-10-22 04:00:00+00:00,203
1634878800,2021-10-22 05:00:00+00:00,205
1634882400,2021-10-22 06:00:00+00:00,207
1634886000,2021-10-22 07:00:00+00:00,215
1634889600,2021-10-22 08:00:00+00:00,224
