timestamp,datetime,carbon_intensity_avg
1634688000,2021-10-20 00:00:00+00:00,102
1634691600,2021-10-20 01:00:00+00:00,113
1634695200,2021-10-20 02:00:00+00:00,105
1634698800,2021-10-20 03:00:00+00:00,105
1634702400,2021-10-20 04:00:00+00:00,108
1634706000,2021-10-20 05:00:00+00:00,126
1634709600,2021-10-20 06:00:00+00:00,123
1634713200,2021-10-20 07:00:00+00:00,126
1634716800,2021-10-20 08:00:00+00:00,174
1634720400,2021-10-20 09:00:00+00:00,224
1634724000,2021-10-20 10:00:00+00:00,234
1634727600,2021-10-20 11:00:00+00:00,233
1634731200,2021-10-20 12:00:00+00:00,215
1634734800,2021-10-20 13:00:00+00:00,188
1634738400,2021-10-20 14:00:00+00:00,177
1634742000,2021-10-20 15:00:00+00:00,156
1634745600,2021-10-20 16:00:00+00:00,162
1634749200,2021-10-20 17:00:00+00:00,180
1634752800,2021-10-20 18:00:00+00:00,211
1634756400,2021-10-20 19:00:00+00:00,232
1634760000,2021-10-20 20:00:00+00:00,250
1634763600,2021-10-20 21:00:00+00:00,258
1634767200,2021-10-20 22:00:00+00:00,245
1634770800,2021-10-20 23:00:00+00:00,231
1634774400,2021-10-21 00:00:00+00:00,184
1634778000,2021-10-21 01:00:00+00:00,129
1634781600,2021-10-21 02:00:00+00:00,123
1634785200,2021-10-21 03:00:00+00:00,115
1634788800,2021-10-21 04:00:00+00:00,121
1634792400,2021-10-21 05:00:00+00:00,114
1634796000,2021-10-21 06:00:00+00:00,116
1634799600,2021-10-21 07:00:00+00:00,109
1634803200,2021-10-21 08:00:00+00:00,120
1634806800,2021-10-21 09:00:00+00:00,165
1634810400,2021-10-21 10:00:00+00:00,181
1634814000,2021-10-21 11:00:00+00:00,177
1634817600,2021-10-21 12:00:00+00:00,164
1634821200,2021-10-21 13:00:00+00:00,160
1634824800,2021-10-21 14:00:00+00:00,157
1634828400,2021-10-21 15:00:00+00:00,142
1634832000,2021-10-21 16:00:00+00:00,137
1634835600,2021-10-21 17:00:00+00:00,150
1634839200,2021-10-21 18:00:00+00:00,187
1634842800,2021-10-21 19:00:00+00:00,210
1634846400,2021-10-21 20:00:00+00:00,212
1634850000,2021-10-21 21:00:00+00:00,204
1634853600,2021-10-21 22:00:00+00:00,196
1634857200,2021-10-21 23:00:00+00:00,173
1634860800,2021-10-22 00:00:00+00:00,147
1634864400,2021-10-22 01:00:00+00:00,125
1634868000,2021-10-22 02:00:00+00:00,122
1634871600,2021-10-22 03:00:00+00:00,109
1634875200,2021-10-22 04:00:00+00:00,109
1634878800,2021-10-22 05:00:00+00:00,117
1634882400,2021-10-22 06:00:00+00:00,108
1634886000,2021-10-22 07:00:00+00:00,116
1634889600,2021-10-22 08:00:00+00:00,145
1634893200,2021-10-22 09:00:00+00:00,201
1634896800,2021-10-22 10:00:00+00:00,207
1634900400,2021-10-22 11:00:00+00:00,207
1634904000,2021-10-22 12:00:00+00:00,213
1634907600,2021-10-22 13:00:00+00:00,198
1634911200,2021-10-22 14:00:00+00:00,209
1634914800,2021-10-22 15:00:00+00:00,221
1634918400,2021-10-22 16:00:00+00:00,224
1634922000,2021-10-22 17:00:00+00:00,250
1634925600,2021-10-22 18:00:00+00:00,296
1634929200,2021-10-22 19:00:00+00:00,312
1634932800,2021-10-22 20:00:00+00:00,340
1634936400,2021-10-22 21:00:00+00:00,337
1634940000,2021-10-22 22:00:00+00:00,337
1634943600,2021-10-22 23:00:00+00:00,343
1634947200,2021-10-23 00:00:00+00:00,320
1634950800,2021-10-23 01:00:00+00:00,299
1634954400,2021-10-23 02:00:00+00:00,282
1634958000,2021-10-23 03:00:00+00:00,269
1634961600,2021-10-23 04:00:00+00:00,253
1634965200,2021-10-23 05:00:00+00:00,236
1634968800,2021-10-23 06:00:00+00:00,230
1634972400,2021-10-23 07:00:00+00:00,220
1634976000,2021-10-23 08:00:00+00:00,227
1634979600,2021-10-23 09:00:00+00:00,239
1634983200,2021-10-23 10:00:00+00:00,246
1634986800,2021-10-23 11:00:00+00:00,231
1634990400,2021-10-23 12:00:00+00:00,227
1634994000,2021-10-23 13:00:00+00:00,211
1634997600,2021-10-23 14:00:00+00:00,201
1635001200,2021-10-23 15:00:00+00:00,193
1635004800,2021-10-23 16:00:00+00:00,191
1635008400,2021-10-23 17:00:00+00:00,203
1635012000,2021-10-23 18:00:00+00:00,221
1635015600,2021-10-23 19:00:00+00:00,224
1635019200,2021-10-23 20:00:00+00:00,221
1635022800,2021-10-23 21:00:00+00:00,221
1635026400,2021-10-23 22:00:00+00:00,197
1635030000,2021-10-23 23:00:00+00:00,165
1635033600,2021-10-24 00:00:00+00:00,154
1635037200,2021-10-24 01:00:00+00:00,133
1635040800,2021-10-24 02:00:00+00:00,116
1635044400,2021-10-24 03:00:00+00:00,106
1635048000,2021-10-24 04:00:00+00:00,106
1635051600,2021-10-24 05:00:00+00:00,103
1635055200,2021-10-24 06:00:00+00:00,107
1635058800,2021-10-24 07:00:00+00:00,106
1635062400,2021-10-24 08:00:00+00:00,118
1635066000,2021-10-24 09:00:00+00:00,124
1635069600,2021-10-24 10:00:00+00:00,125
1635073200,2021-10-24 11:00:00+00:00,124
1635076800,2021-10-24 12:00:00+00:00,122
1635080400,2021-10-24 13:00:00+00:00,124
1635084000,2021-10-24 14:00:00+00:00,129
1635087600,2021-10-24 15:00:00+00:00,129
1635091200,2021-10-24 16:00:00+00:00,133
1635094800,2021-10-24 17:00:00+00:00,135
1635098400,2021-10-24 18:00:00+00:00,161
1635102000,2021-10-24 19:00:00+00:00,180
1635105600,2021-10-24 20:00:00+00:00,192
1635109200,2021-10-24 21:00:00+00:00,178
1635112800,2021-10-24 22:00:00+00:00,174
1635116400,2021-10-24 23:00:00+00:00,145
1635120000,2021-10-25 00:00:00+00:00,137
1635123600,2021-10-25 01:00:00+00:00,120
1635127200,2021-10-25 02:00:00+00:00,118
1635130800,2021-10-25 03:00:00+00:00,123
1635134400,2021-10-25 04:00:00+00:00,110
1635138000,2021-10-25 05:00:00+00:00,123
1635141600,2021-10-25 06:00:00+00:00,130
1635145200,2021-10-25 07:00:00+00:00,130
1635148800,2021-10-25 08:00:00+00:00,186
1635152400,2021-10-25 09:00:00+00:00,234
1635156000,2021-10-25 10:00:00+00:00,241
1635159600,2021-10-25 11:00:00+00:00,246
1635163200,2021-10-25 12:00:00+00:00,234
1635166800,2021-10-25 13:00:00+00:00,217
1635170400,2021-10-25 14:00:00+00:00,222
1635174000,2021-10-25 15:00:00+00:00,218
1635177600,2021-10-25 16:00:00+00:00,229
1635181200,2021-10-25 17:00:00+00:00,234
1635184800,2021-10-25 18:00:00+00:00,275
1635188400,2021-10-25 19:00:00+00:00,274
1635192000,2021-10-25 20:00:00+00:00,292
1635195600,2021-10-25 21:00:00+00:00,293
1635199200,2021-10-25 22:00:00+00:00,288
1635202800,2021-10-25 23:00:00+00:00,274
1635206400,2021-10-26 00:00:00+00:00,229
1635210000,2021-10-26 01:00:00+00:00,183
1635213600,2021-10-26 02:00:00+00:00,165
1635217200,2021-10-26 03:00:00+00:00,166
1635220800,2021-10-26 04:00:00+00:00,172
1635224400,2021-10-26 05:00:00+00:00,169
1635228000,2021-10-26 06:00:00+00:00,163
1635231600,2021-10-26 07:00:00+00:00,144
1635235200,2021-10-26 08:00:00+00:00,232
1635238800,2021-10-26 09:00:00+00:00,244
1635242400,2021-10-26 10:00:00+00:00,244
1635246000,2021-10-26 11:00:00+00:00,238
1635249600,2021-10-26 12:00:00+00:00,230
1635253200,2021-10-26 13:00:00+00:00,216
1635256800,2021-10-26 14:00:00+00:00,202
1635260400,2021-10-26 15:00:00+00:00,194
1635264000,2021-10-26 16:00:00+00:00,177
1635267600,2021-10-26 17:00:00+00:00,191
1635271200,2021-10-26 18:00:00+00:00,205
