timestamp,datetime,carbon_intensity_avg
1634688000,2021-10-20 00:00:00+00:00,236
1634688000,2021-10-20 00:00:00+00:00,249
1634691600,2021-10-20 01:00:00+00:00,255
1634691600,2021-10-20 01:00:00+00:00,275
1634695200,2021-10-20 02:00:00+00:00,310
1634698800,2021-10-20 03:00:00+00:00,357
1634702400,2021-10-20 04:00:00+00:00,334
1634706000,2021-10-20 05:00:00+00:00,380
1634713200,2021-10-20 07:00:00+00:00,515
1634716800,2021-10-20 08:00:00+00:00,541
1634716800,2021-10-20 08:00:00+00:00,545
1634720400,2021-10-20 09:00:00+00:00,520
1634724000,2021-10-20 10:00:00+00:00,508
1634727600,2021-10-20 11:00:00+00:00,489
1634731200,2021-10-20 12:00:00+00:00,491
1634734800,2021-10-20 13:00:00+00:00,470
1634734800,2021-10-20 13:00:00+00:00,477
1634738400,2021-10-20 14:00:00+00:00,486
1634742000,2021-10-20 15:00:00+00:00,454
1634745600,2021-10-20 16:00:00+00:00,404
1634749200,2021-10-20 17:00:00+00:00,390
1634752800,2021-10-20 18:00:00+00:00,383
1634756400,2021-10-20 19:00:00+00:00,352
1634760000,2021-10-20 20:00:00+00:00,325
1634763600,2021-10-20 21:00:00+00:00,272
1634767200,2021-10-20 22:00:00+00:00,272
1634770800,2021-10-20 23:00:00+00:00,163
1634774400,2021-10-21 00:00:00+00:00,157
1634778000,2021-10-21 01:00:00+00:00,161
1634781600,2021-10-21 02:00:00+00:00,177
1634781600,2021-10-21 02:00:00+00:00,178
1634785200,2021-10-21 03:00:00+00:00,198
1634788800,2021-10-21 04:00:00+00:00,196
1634792400,2021-10-21 05:00:00+00:00,200
1634796000,2021-10-21 06:00:00+00:00,198
1634799600,2021-10-21 07:00:00+00:00,194
1634803200,2021-10-21 08:00:00+00:00,284
1634806800,2021-10-21 09:00:00+00:00,375
1634810400,2021-10-21 10:00:00+00:00,413
1634810400,2021-10-21 10:00:00+00:00,418
1634814000,2021-10-21 11:00:00+00:00,401
1634817600,2021-10-21 12:00:00+00:00,421
1634821200,2021-10-21 13:00:00+00:00,440
1634824800,2021-10-21 14:00:00+00:00,433
1634828400,2021-10-21 15:00:00+00:00,444
1634832000,2021-10-21 16:00:00+00:00,434
1634835600,2021-10-21 17:00:00+00:00,433
1634839200,2021-10-21 18:00:00+00:00,420
1634842800,2021-10-21 19:00:00+00:00,432
1634846400,2021-10-21 20:00:00+00:00,433
1634850000,2021-10-21 21:00:00+00:00,437
1634853600,2021-10-21 22:00:00+00:00,411
1634857200,2021-10-21 23:00:00+00:00,364
1634860800,2021-10-22 00:00:00+00:00,252
1634860800,2021-10-22 00:00:00+00:00,254
1634864400,2021-10-22 01:00:00+00:00,221
1634864400,2021-10-22 01:00:00+00:00,225
1634868000,2021-10-22 02:00:00+00:00,215
1634871600,2021-10-22 03:00:00+00:00,196
1634875200,2021-10-22 04:00:00+00:00,209
1634878800,2021-10-22 05:00:00+00:00,225
1634882400,2021-10-22 06:00:00+00:00,234
1634886000,2021-10-22 07:00:00+00:00,225
1634889600,2021-10-22 08:00:00+00:00,272
1634893200,2021-10-22 09:00:00+00:00,399
1634896800,2021-10-22 10:00:00+00:00,439
1634900400,2021-10-22 11:00:00+00:00,444
1634900400,2021-10-22 11:00:00+00:00,445
1634904000,2021-10-22 12:00:00+00:00,435
1634907600,2021-10-22 13:00:00+00:00,425
1634911200,2021-10-22 14:00:00+00:00,419
1634914800,2021-10-22 15:00:00+00:00,443
1634918400,2021-10-22 16:00:00+00:00,461
1634922000,2021-10-22 17:00:00+00:00,474
1634925600,2021-10-22 18:00:00+00:00,487
1634929200,2021-10-22 19:00:00+00:00,478
1634932800,2021-10-22 20:00:00+00:00,499
1634936400,2021-10-22 21:00:00+00:00,494
1634940000,2021-10-22 22:00:00+00:00,472
1634943600,2021-10-22 23:00:00+00:00,443
1634947200,2021-10-23 00:00:00+00:00,386
1634950800,2021-10-23 01:00:00+00:00,322
1634954400,2021-10-23 02:00:00+00:00,243
1634958000,2021-10-23 03:00:00+00:00,197
1634961600,2021-10-23 04:00:00+00:00,158
1634965200,2021-10-23 05:00:00+00:00,162
1634968800,2021-10-23 06:00:00+00:00,163
1634972400,2021-10-23 07:00:00+00:00,159
1634976000,2021-10-23 08:00:00+00:00,154
1634979600,2021-10-23 09:00:00+00:00,142
1634983200,2021-10-23 10:00:00+00:00,142
1634986800,2021-10-23 11:00:00+00:00,159
1634990400,2021-10-23 12:00:00+00:00,127
1634994000,2021-10-23 13:00:00+00:00,127
1634997600,2021-10-23 14:00:00+00:00,129
1635001200,2021-10-23 15:00:00+00:00,129
1635004800,2021-10-23 16:00:00+00:00,129
1635008400,2021-10-23 17:00:00+00:00,131
1635012000,2021-10-23 18:00:00+00:00,122
1635015600,2021-10-23 19:00:00+00:00,126
1635019200,2021-10-23 20:00:00+00:00,138
1635022800,2021-10-23 21:00:00+00:00,137
1635026400,2021-10-23 22:00:00+00:00,129
