,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
0,138106.0,383164.0,102729.0,40272.0,105149.0,1993965.0,271162.0,20857.0,1656900.0,146766.0,2149943.0,428677.0,142786.0,126753.0,557974.0,1898453.0,29573.0,19720.0,15659.0,19351.0,1132031.0,397857.0,965330.0,203598.0,508911.0,36686.0,47993.0
1,123128.0,343824.0,91978.0,35339.0,97687.0,1889238.0,243119.0,18944.0,1476643.0,143878.0,2005321.0,390268.0,128017.0,114937.0,537507.0,1692205.0,26902.0,18295.0,13820.0,18724.0,1075593.0,356979.0,895646.0,176255.0,479047.0,33975.0,46909.0
2,113447.0,312066.0,84657.0,33236.0,89896.0,1731264.0,216791.0,18213.0,1365602.0,127009.0,1851847.0,354266.0,116259.0,104778.0,504141.0,1534988.0,23024.0,15610.0,14891.0,16276.0,1035182.0,330500.0,791110.0,168362.0,442095.0,31261.0,42082.0
3,109262.0,295112.0,78071.0,32782.0,84636.0,1577483.0,207746.0,14410.0,1208474.0,121790.0,1723272.0,328173.0,105475.0,94549.0,456140.0,1389275.0,20504.0,13057.0,12868.0,15120.0,952330.0,302291.0,753015.0,149429.0,407179.0,26954.0,37511.0
4,97026.0,276359.0,69785.0,31515.0,74020.0,1482537.0,199283.0,15404.0,1106786.0,121441.0,1633094.0,284616.0,91528.0,85500.0,478249.0,1231559.0,19221.0,13833.0,10872.0,16200.0,770254.0,257440.0,702846.0,139027.0,378672.0,27152.0,32547.0
5,94680.0,262368.0,66659.0,27753.0,72228.0,1399674.0,186410.0,13025.0,1006734.0,120372.0,1528621.0,283454.0,85395.0,78120.0,475473.0,1131152.0,17923.0,13087.0,10732.0,13139.0,721295.0,247462.0,657464.0,124671.0,359206.0,22699.0,27740.0
6,84296.0,242955.0,61574.0,27311.0,63033.0,1322381.0,179117.0,11610.0,921399.0,114081.0,1461564.0,255627.0,75575.0,73876.0,480503.0,1029920.0,14970.0,13121.0,9942.0,12212.0,691744.0,225993.0,590327.0,115447.0,339212.0,22002.0,26094.0
7,84502.0,226530.0,60125.0,23231.0,62903.0,1283351.0,170345.0,13019.0,840364.0,106880.0,1385436.0,222568.0,66242.0,72161.0,452628.0,960526.0,14818.0,12906.0,9079.0,11390.0,677490.0,206906.0,540387.0,105715.0,314215.0,22479.0,23486.0
8,78732.0,208949.0,54155.0,22118.0,58754.0,1209732.0,160147.0,11719.0,763341.0,112606.0,1301766.0,225716.0,61096.0,65687.0,384753.0,877588.0,13480.0,12807.0,8342.0,10739.0,731849.0,200059.0,483686.0,101712.0,304980.0,20485.0,21652.0
9,73414.0,209795.0,51758.0,20778.0,57365.0,1150170.0,151990.0,10935.0,714225.0,109191.0,1239814.0,205642.0,56704.0,60830.0,362142.0,818313.0,11970.0,10978.0,8549.0,10244.0,734755.0,185763.0,449487.0,92446.0,285778.0,19495.0,23000.0
10,72955.0,191659.0,51877.0,21238.0,53306.0,1090598.0,145014.0,10502.0,645613.0,111186.0,1160790.0,184025.0,47474.0,58799.0,371146.0,748297.0,12191.0,10448.0,8125.0,8342.0,709155.0,179072.0,413149.0,84265.0,270751.0,15677.0,19440.0
11,69473.0,182889.0,51133.0,18670.0,50155.0,1032623.0,134141.0,9774.0,610863.0,107164.0,1124038.0,171543.0,43441.0,56540.0,359252.0,687053.0,11505.0,11200.0,7684.0,8536.0,691849.0,157239.0,355596.0,87455.0,255343.0,16636.0,19499.0
12,68646.0,172822.0,47801.0,16930.0,48672.0,1004385.0,129895.0,9210.0,569710.0,111209.0,1071705.0,165520.0,39915.0,55210.0,330457.0,632828.0,11901.0,8907.0,7968.0,7849.0,680931.0,145988.0,336925.0,78491.0,242667.0,16268.0,18948.0
13,65884.0,163162.0,46002.0,16436.0,51079.0,1007296.0,128804.0,9239.0,524773.0,119123.0,1008903.0,157520.0,38785.0,60464.0,334211.0,584202.0,12282.0,8926.0,7346.0,7969.0,681794.0,135752.0,301697.0,79493.0,227055.0,13642.0,17309.0
14,63422.0,157339.0,44833.0,16765.0,52489.0,996316.0,120670.0,10481.0,491851.0,118058.0,1010373.0,149940.0,34207.0,64227.0,285165.0,561698.0,13056.0,10201.0,8503.0,6945.0,675448.0,149251.0,280444.0,80074.0,216624.0,14274.0,18395.0
15,64353.0,156777.0,44461.0,13923.0,52839.0,988300.0,114183.0,11230.0,461856.0,125239.0,980591.0,137981.0,34251.0,64051.0,273637.0,533842.0,13454.0,8848.0,8169.0,7282.0,663105.0,140562.0,243420.0,80075.0,213495.0,13151.0,17619.0
16,63258.0,142344.0,50056.0,15052.0,55997.0,980711.0,113266.0,10062.0,440330.0,127844.0,963365.0,133313.0,31078.0,70693.0,261260.0,516169.0,13282.0,8377.0,8623.0,6605.0,659374.0,140010.0,222572.0,84816.0,205565.0,12801.0,20084.0
17,67002.0,149079.0,54039.0,14637.0,58149.0,1000675.0,112434.0,11763.0,417607.0,138509.0,953662.0,134989.0,29968.0,74337.0,268865.0,508840.0,16509.0,8457.0,10194.0,7931.0,626979.0,142701.0,194410.0,89686.0,205919.0,14123.0,20273.0
18,68743.0,143160.0,52493.0,15844.0,62044.0,1017921.0,113355.0,11076.0,409254.0,147509.0,917742.0,132839.0,30293.0,77656.0,257802.0,512052.0,16044.0,8362.0,10825.0,8147.0,621622.0,152700.0,186430.0,96476.0,212427.0,14049.0,19593.0
19,74436.0,146188.0,65922.0,16571.0,67891.0,1081893.0,118138.0,14403.0,406114.0,156460.0,947580.0,137709.0,32904.0,88745.0,265925.0,518824.0,20544.0,8577.0,12275.0,7868.0,602864.0,168520.0,170121.0,113383.0,219969.0,14978.0,24717.0
20,82073.0,152802.0,80657.0,19812.0,74335.0,1121972.0,124837.0,15188.0,393404.0,171921.0,926075.0,148806.0,33550.0,101593.0,275286.0,507776.0,24912.0,9592.0,14111.0,8955.0,677909.0,178898.0,153064.0,129880.0,232622.0,16911.0,27868.0
21,84487.0,148848.0,81000.0,20159.0,78126.0,1164547.0,127510.0,17062.0,380432.0,174666.0,922779.0,145441.0,31776.0,108941.0,301061.0,512337.0,26429.0,8710.0,14343.0,8390.0,626350.0,201495.0,146964.0,137516.0,230665.0,16074.0,28173.0
22,92001.0,155812.0,97950.0,23853.0,86637.0,1251879.0,142295.0,18574.0,384806.0,179000.0,921368.0,150467.0,35013.0,125095.0,367161.0,522257.0,29227.0,8224.0,16007.0,9532.0,757201.0,204005.0,138554.0,160432.0,251585.0,19485.0,31327.0
23,103647.0,164023.0,110096.0,24112.0,94132.0,1345757.0,147915.0,21346.0,386342.0,189658.0,944023.0,168406.0,38244.0,144120.0,351626.0,541064.0,34545.0,10614.0,18515.0,10308.0,794361.0,234410.0,122964.0,183351.0,261154.0,20251.0,36956.0
24,114890.0,192937.0,118485.0,25181.0,108836.0,1499615.0,159952.0,24533.0,392385.0,209942.0,994745.0,178634.0,43963.0,165506.0,396970.0,609413.0,39256.0,11500.0,20809.0,11660.0,690866.0,263155.0,118031.0,199466.0,288277.0,24700.0,44785.0
25,135567.0,200210.0,131375.0,30343.0,126117.0,1716944.0,176572.0,26042.0,425941.0,220687.0,1070804.0,206040.0,49826.0,188852.0,386516.0,677585.0,48971.0,12753.0,21689.0,14624.0,738087.0,288205.0,109190.0,231103.0,319091.0,26376.0,52780.0
