,AD,AL,AM,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GE,GI,GR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MC,MD,MK,MT,NL,NO,PL,PT,RO,RU,SE,SI,SK,SM,TR,UA,VA
0,3945.0,112549.0,9037.0,138106.0,146452.0,383164.0,102729.0,19870.0,278988.0,40272.0,105149.0,1993965.0,271162.0,20857.0,1656900.0,146766.0,9491.0,2149943.0,5097320.0,29720.0,3043.0,428677.0,142786.0,126753.0,557974.0,197321.0,1898453.0,741.0,29573.0,19720.0,15659.0,1765.0,8483.0,199142.0,19351.0,1132031.0,350164.0,397857.0,965330.0,203598.0,384751.0,508911.0,36686.0,47993.0,429.0,2933149.0,88181.0,2.0
1,3737.0,106183.0,8985.0,123128.0,134904.0,343824.0,91978.0,18297.0,257497.0,35339.0,97687.0,1889238.0,243119.0,18944.0,1476643.0,143878.0,9203.0,2005321.0,4695748.0,25527.0,3361.0,390268.0,128017.0,114937.0,537507.0,189432.0,1692205.0,971.0,26902.0,18295.0,13820.0,1551.0,7712.0,186818.0,18724.0,1075593.0,320341.0,356979.0,895646.0,176255.0,377760.0,479047.0,33975.0,46909.0,392.0,2711507.0,83103.0,43.0
2,2782.0,95488.0,6683.0,113447.0,123394.0,312066.0,84657.0,17322.0,239509.0,33236.0,89896.0,1731264.0,216791.0,18213.0,1365602.0,127009.0,7703.0,1851847.0,4297663.0,20624.0,3208.0,354266.0,116259.0,104778.0,504141.0,176313.0,1534988.0,707.0,23024.0,15610.0,14891.0,1353.0,6227.0,170842.0,16276.0,1035182.0,288146.0,330500.0,791110.0,168362.0,374061.0,442095.0,31261.0,42082.0,497.0,2535472.0,75663.0,14.0
3,2693.0,83575.0,7214.0,109262.0,110225.0,295112.0,78071.0,15717.0,227154.0,32782.0,84636.0,1577483.0,207746.0,14410.0,1208474.0,121790.0,6652.0,1723272.0,3899168.0,23259.0,2122.0,328173.0,105475.0,94549.0,456140.0,168963.0,1389275.0,613.0,20504.0,13057.0,12868.0,1382.0,6098.0,157928.0,15120.0,952330.0,266895.0,302291.0,753015.0,149429.0,363960.0,407179.0,26954.0,37511.0,312.0,2349695.0,71195.0,2.0
4,2468.0,82671.0,6207.0,97026.0,96089.0,276359.0,69785.0,14172.0,213480.0,31515.0,74020.0,1482537.0,199283.0,15404.0,1106786.0,121441.0,5861.0,1633094.0,3595236.0,19885.0,2244.0,284616.0,91528.0,85500.0,478249.0,167910.0,1231559.0,596.0,19221.0,13833.0,10872.0,1627.0,5881.0,147029.0,16200.0,770254.0,257701.0,257440.0,702846.0,139027.0,360385.0,378672.0,27152.0,32547.0,435.0,2442356.0,68600.0,47.0
5,2642.0,77213.0,5390.0,94680.0,83521.0,262368.0,66659.0,13061.0,203320.0,27753.0,72228.0,1399674.0,186410.0,13025.0,1006734.0,120372.0,6340.0,1528621.0,3418947.0,18637.0,2462.0,283454.0,85395.0,78120.0,475473.0,160849.0,1131152.0,508.0,17923.0,13087.0,10732.0,1164.0,5114.0,141450.0,13139.0,721295.0,231061.0,247462.0,657464.0,124671.0,359868.0,359206.0,22699.0,27740.0,167.0,2430253.0,64048.0,1.0
6,2036.0,75008.0,5525.0,84296.0,77330.0,242955.0,61574.0,12727.0,190695.0,27311.0,63033.0,1322381.0,179117.0,11610.0,921399.0,114081.0,6679.0,1461564.0,3171818.0,17395.0,2274.0,255627.0,75575.0,73876.0,480503.0,152037.0,1029920.0,586.0,14970.0,13121.0,9942.0,1707.0,5296.0,137405.0,12212.0,691744.0,221549.0,225993.0,590327.0,115447.0,367965.0,339212.0,22002.0,26094.0,230.0,2394945.0,59286.0,4.0
7,1825.0,68164.0,4839.0,84502.0,71368.0,226530.0,60125.0,12507.0,181984.0,23231.0,62903.0,1283351.0,170345.0,13019.0,840364.0,106880.0,5295.0,1385436.0,3044379.0,15432.0,1725.0,222568.0,66242.0,72161.0,452628.0,144388.0,960526.0,587.0,14818.0,12906.0,9079.0,2630.0,4550.0,126929.0,11390.0,677490.0,216805.0,206906.0,540387.0,105715.0,376784.0,314215.0,22479.0,23486.0,406.0,2252326.0,53701.0,2.0
8,1818.0,63122.0,4077.0,78732.0,64574.0,208949.0,54155.0,11883.0,171875.0,22118.0,58754.0,1209732.0,160147.0,11719.0,763341.0,112606.0,5366.0,1301766.0,2825891.0,13315.0,1994.0,225716.0,61096.0,65687.0,384753.0,137975.0,877588.0,630.0,13480.0,12807.0,8342.0,1300.0,4061.0,121293.0,10739.0,731849.0,201426.0,200059.0,483686.0,101712.0,386225.0,304980.0,20485.0,21652.0,148.0,2077538.0,51413.0,2.0
9,1488.0,60134.0,4165.0,73414.0,61548.0,209795.0,51758.0,12483.0,160471.0,20778.0,57365.0,1150170.0,151990.0,10935.0,714225.0,109191.0,5225.0,1239814.0,2590942.0,11332.0,1593.0,205642.0,56704.0,60830.0,362142.0,133116.0,818313.0,486.0,11970.0,10978.0,8549.0,1194.0,3914.0,109795.0,10244.0,734755.0,183152.0,185763.0,449487.0,92446.0,388925.0,285778.0,19495.0,23000.0,205.0,1927541.0,48863.0,3.0
