,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,513876.0,111978.0,1390618.0,542263.0,9408017.0,1445112.0,627049.0,91965.0,3714884.0,4722398.0,227827.0,137209.0,3231030.0,973876.0,382157.0,1085330.0,572072.0,905609.0,262801.0,2406421.0,1611009.0,1853065.0,910772.0,329626.0,1164418.0,129824.0,303760.0,496095.0,259917.0,3317730.0,235240.0,4742854.0,1777924.0,42355.0,2427850.0,540824.0,773311.0,2574562.0,296410.0,829892.0,143872.0,1230982.0,6238849.0,510299.0,109591.0,3166917.0,2901997.0,175659.0,961185.0,95575.0
1,528167.0,111991.0,1392552.0,547541.0,9273588.0,1463639.0,626964.0,96878.0,3758689.0,4538296.0,222758.0,139374.0,3309478.0,988024.0,436145.0,1051198.0,586606.0,912269.0,261161.0,2407214.0,1619271.0,1865971.0,922199.0,329654.0,1186144.0,131713.0,301176.0,493818.0,272037.0,3316821.0,235595.0,4808437.0,1780764.0,42541.0,2455574.0,535553.0,753542.0,2568459.0,301278.0,826577.0,147874.0,1234902.0,6656774.0,521368.0,115473.0,3255316.0,2874373.0,176684.0,963179.0,93852.0
2,544276.0,114786.0,1376186.0,551344.0,9225674.0,1454227.0,639408.0,95606.0,3831273.0,4535189.0,227134.0,142100.0,3288635.0,997997.0,314836.0,1064761.0,586333.0,919204.0,287571.0,2463224.0,1679532.0,1921513.0,928106.0,334241.0,1189611.0,131534.0,303537.0,495489.0,276927.0,3385250.0,240295.0,4887578.0,1792634.0,40066.0,2538657.0,497972.0,750073.0,2622959.0,308595.0,784219.0,150621.0,1247005.0,6635836.0,488671.0,119864.0,3338971.0,2893064.0,176139.0,993531.0,94059.0
3,548590.0,115890.0,1367700.0,556509.0,9323078.0,1454420.0,667558.0,102777.0,3886263.0,4441190.0,226298.0,139186.0,3330455.0,1029213.0,339140.0,1055126.0,602688.0,936498.0,291340.0,2498800.0,1713175.0,1948902.0,945008.0,331001.0,1203508.0,131451.0,312293.0,499077.0,280120.0,3485640.0,238797.0,4977398.0,1853011.0,44345.0,2558525.0,500735.0,748959.0,2695934.0,315366.0,809610.0,156166.0,1277466.0,6746804.0,499196.0,121934.0,3401635.0,2923342.0,185038.0,990516.0,96041.0
4,566155.0,113370.0,1340635.0,557160.0,9128029.0,1444525.0,692420.0,99904.0,3898371.0,4685476.0,229530.0,138278.0,3365320.0,1034917.0,355445.0,1051108.0,609487.0,929930.0,294496.0,2526201.0,1743846.0,1944037.0,954565.0,334950.0,1204299.0,132731.0,299090.0,478458.0,287350.0,3507917.0,241230.0,5050012.0,1900708.0,42584.0,2595844.0,553645.0,730940.0,2750846.0,316774.0,839494.0,147586.0,1265376.0,6595442.0,490181.0,129443.0,3456300.0,2868087.0,194621.0,996300.0,95877.0
5,568795.0,115590.0,1347323.0,572432.0,9229269.0,1479723.0,709883.0,106003.0,4005212.0,4763204.0,229621.0,136291.0,3449963.0,1052444.0,443335.0,1075577.0,627575.0,946625.0,302310.0,2610324.0,1813833.0,1985638.0,973886.0,340789.0,1234624.0,123372.0,311625.0,480938.0,293641.0,3562858.0,239810.0,5214571.0,1971268.0,42361.0,2611844.0,554960.0,720710.0,2827748.0,333836.0,854910.0,152438.0,1287608.0,6682481.0,494986.0,129051.0,3556329.0,2937090.0,190094.0,1028920.0,92287.0
6,581929.0,114100.0,1351602.0,578680.0,9160663.0,1449785.0,727489.0,106645.0,4047028.0,4860980.0,224105.0,135782.0,3467159.0,1059695.0,438014.0,1145428.0,625804.0,961613.0,313110.0,2640358.0,1847389.0,1982095.0,986257.0,348438.0,1253144.0,126351.0,320816.0,481687.0,307904.0,3658309.0,236516.0,5319861.0,2005505.0,43804.0,2659991.0,541288.0,719550.0,2888298.0,352124.0,865525.0,160124.0,1311123.0,6678034.0,498936.0,130707.0,3625523.0,2947573.0,196500.0,1007218.0,96264.0
7,593166.0,108393.0,1323283.0,585708.0,9127911.0,1463584.0,726848.0,106681.0,4032194.0,5148146.0,235779.0,137231.0,3534630.0,1081149.0,445684.0,1123259.0,651096.0,959651.0,308786.0,2657355.0,1845206.0,1986026.0,998325.0,351313.0,1247419.0,145156.0,319707.0,481930.0,299260.0,3663657.0,242069.0,5360747.0,2027220.0,46243.0,2699297.0,556773.0,728840.0,2898522.0,342277.0,876401.0,155255.0,1330938.0,6731406.0,495531.0,134097.0,3650854.0,2968032.0,199585.0,1039596.0,95420.0
8,599422.0,109125.0,1345922.0,613845.0,9052865.0,1486336.0,738010.0,110407.0,4068935.0,5069477.0,231893.0,135133.0,3563126.0,1108155.0,451685.0,1133215.0,649828.0,993863.0,307491.0,2683628.0,1858029.0,1993871.0,1008977.0,357312.0,1292281.0,137266.0,323759.0,481635.0,297261.0,3709325.0,240875.0,5426403.0,2036730.0,46889.0,2751694.0,579294.0,740166.0,2943985.0,343789.0,894383.0,163620.0,1363308.0,6855763.0,489477.0,129528.0,3693340.0,2988074.0,193546.0,1056111.0,100346.0
9,624277.0,109778.0,1352601.0,617233.0,9098472.0,1511515.0,752825.0,110786.0,4138004.0,4999930.0,235836.0,137945.0,3678206.0,1130787.0,399077.0,1161087.0,687438.0,1031142.0,314995.0,2765056.0,1861044.0,2038525.0,1051742.0,370854.0,1324708.0,131551.0,339054.0,491903.0,299427.0,3804505.0,250161.0,5564192.0,2095161.0,45757.0,2823410.0,595408.0,738731.0,2993926.0,355910.0,946559.0,166359.0,1392721.0,7078006.0,503344.0,134243.0,3873652.0,2988920.0,201103.0,1081406.0,100221.0
10,626059.0,110454.0,1359746.0,623412.0,8960338.0,1507151.0,748923.0,112424.0,4127399.0,4932934.0,232568.0,141638.0,3713347.0,1126369.0,403347.0,1146050.0,677923.0,1047197.0,308726.0,2690542.0,1894605.0,2002455.0,1075449.0,376848.0,1347715.0,138069.0,336929.0,487471.0,299447.0,3752106.0,242764.0,5471897.0,2043565.0,48586.0,2823409.0,604330.0,734216.0,2961814.0,345401.0,930679.0,171711.0,1418500.0,6994793.0,496274.0,131884.0,3771749.0,2997133.0,200632.0,1101407.0,101632.0
11,636855.0,109150.0,1350800.0,626832.0,8994003.0,1506892.0,739833.0,111097.0,4048607.0,5013923.0,241476.0,141573.0,3806955.0,1128888.0,384511.0,1161815.0,694978.0,1064259.0,298791.0,2661306.0,1877025.0,2010297.0,1088180.0,383565.0,1382758.0,142263.0,361928.0,486833.0,284246.0,3683038.0,238464.0,5462223.0,1993288.0,47325.0,2795382.0,607363.0,747559.0,2912228.0,333471.0,922351.0,171725.0,1423439.0,7242414.0,511750.0,125103.0,3844609.0,3065743.0,199294.0,1127288.0,101721.0
12,635904.0,110557.0,1361211.0,631238.0,9083484.0,1545830.0,730271.0,106632.0,4015074.0,5104707.0,236275.0,141945.0,3821226.0,1119907.0,443425.0,1176243.0,679478.0,1069723.0,275831.0,2613603.0,1817571.0,1983212.0,1112819.0,386110.0,1401407.0,137308.0,357179.0,482713.0,284479.0,3755668.0,247078.0,5457410.0,1995796.0,46680.0,2783364.0,617924.0,757526.0,2902820.0,337280.0,934907.0,180296.0,1431382.0,7416177.0,506011.0,123959.0,3854604.0,2998801.0,202754.0,1142092.0,100657.0
13,643730.0,110053.0,1349038.0,639928.0,9140279.0,1590166.0,724362.0,109067.0,4048292.0,5044304.0,246152.0,142877.0,4035228.0,1133390.0,391180.0,1218905.0,694792.0,1116225.0,273246.0,2646684.0,1832648.0,1974163.0,1161202.0,402820.0,1444241.0,148499.0,366642.0,486797.0,276386.0,3811465.0,265249.0,5505977.0,1959661.0,48040.0,2759916.0,620789.0,765426.0,2872451.0,326947.0,900748.0,181806.0,1438453.0,7418675.0,521744.0,121520.0,3755000.0,3092644.0,197799.0,1170158.0,107456.0
14,644821.0,112463.0,1365562.0,648602.0,9135354.0,1632843.0,707629.0,103204.0,3977598.0,4703254.0,238243.0,143413.0,4106753.0,1108928.0,448357.0,1216929.0,683745.0,1117563.0,263388.0,2613472.0,1823178.0,1955593.0,1196291.0,404405.0,1452883.0,148436.0,379787.0,485974.0,267547.0,3740837.0,257785.0,5464102.0,1903817.0,51473.0,2739722.0,648773.0,767426.0,2809717.0,331639.0,887764.0,191416.0,1437971.0,7567957.0,524962.0,116561.0,3682578.0,3142321.0,184753.0,1175153.0,106134.0
