,New Brunswick,Washington,California,Virginia,Ohio,Louisiana,Wisconsin,Mississippi,Texas,Delaware,Ontario,Alberta,North Carolina,Massachusetts,Connecticut,Florida,Colorado,Michigan,Indiana,Iowa,Saskatchewan,Oklahoma,Tennessee,Georgia,Maine,Nebraska,New York,Idaho,British Columbia,Manitoba,New Jersey,Minnesota,Oregon,Pennsylvania,Utah,Arizona,Rhode Island,Quebec,Newfoundland and Labrador,New Mexico,Arkansas,Maryland,Illinois,Kentucky,District of Columbia,New Hampshire,Missouri,Nova Scotia,Nevada,Kansas,North Dakota,Vermont,South Carolina,Puerto Rico,Alaska,Hawaii,West Virginia,Montana,Northwest Territories,South Dakota,Alabama,Wyoming,Yukon,"Washington, D.C.",North Virginia
New Brunswick,,,,,,,,,,,,,,11.175595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,2334.9887476653385,32.84029287649402,76.19518898019803,79.62083544318183,,,,60.24351771264369,,73.87080790625,25.030082857142855,,19.21812021739131,5.4989300000000005,29.657559400000004,,,186.03677333333334,59.34684242222222,,14.27472,,10.157482272727272,10.10268,,,29.896414799999995,12.9752146875,34.358011,32.99704166666667,2.78170625,28.871766515151517,,39.62128923076922,49.34335774025974,,78.79147652395208,,,,38.401505,58.23140903092783,,,5.3852975,,,35.56476,,,28.65353914285714,84.18972342857143,,43.347805,93.171645,36.9501725,22.269828333333333,,,,23.877715000000002,,76.77390903125,82.7781503125
California,,32.84029287649402,3377.6341243352163,77.61439079130434,80.68389713425925,,11.23159,,50.8432767413395,,81.3345296375,11.50337769230769,39.486383999999994,25.2571297265625,15.16827,11.514379999999997,21.27515011764706,65.14007,48.693854,60.045671975703314,,,,12.801962692307692,,32.332445,14.051168749999999,80.19531699999999,29.6738789,43.710122250000005,26.975435727272725,39.7566875,34.08753634814815,58.99654533333333,24.69355111111111,36.228970969072165,33.483775,82.29147441197185,78.253695,,20.97059714285714,36.440579400000004,60.89876748444445,,,,21.760388000000003,,31.218176666666665,0.5140750000000001,,,81.65297587117347,,,62.05812053571429,11.131705,74.8650184375,,,,,,76.04312939322917,78.26406796875
Virginia,,76.19518898019803,77.61439079130434,1757.4754549109412,27.031324205357144,24.216999,41.281670000000005,,47.40130502040816,14.613925357142858,32.65421237463127,,28.602622107142857,22.635605112903228,21.983335,40.41928346666667,27.10514147619047,47.007568000000006,121.620275,38.142717246913584,,16.7785585,,48.159291333333336,52.672740999999995,24.688205,26.715594566037737,,,,13.382894058823531,,84.9957779579208,21.372458342857144,66.12027510714286,72.96698533333334,,29.52274969683258,,,,9.677568701754387,33.69540873571428,47.250095,13.811798149999998,22.334017599999996,,,76.17639700000001,36.6534748,,30.491565714285716,19.563128164556964,58.76097,,,34.85445,,,57.825810000000004,,,,14.736089278688524,15.465053816666666
Ohio,,79.62083544318183,80.68389713425925,27.031324205357144,2367.8684291827954,40.28901666666667,,,52.13238678421054,,38.3816776923077,,,69.27745621428572,,,9.7701145,,10.580061428571428,35.77143346666667,,,,,,,11.900545999999999,,,,35.81361999999999,,88.41977366216216,,70.85294592857143,73.15902145945947,,41.922737352272726,,,,,30.084088963636365,,,,,,81.610122,,,,38.06009526,,,,,,,,,,,36.209639826086956,37.121091
Louisiana,,,,24.216999,40.28901666666667,2.070319285714286,54.45666,,23.150778888888887,,,,,56.3964675,3.2836175,,25.290212968749998,,,,,,25.38554,23.00291375,,,,,,,,30.70623,,33.62032,12.7681675,7.101635,,,,50.444615,,,,,,,56.1338425,,,,,,,,,,,,,,7.9537925000000005,,,,
Wisconsin,,,11.23159,41.281670000000005,,54.45666,2.4537862162162156,,45.323528333333336,,,,,94.66375000000001,,,36.380246666666665,,28.245343333333334,58.8293,,,,,,,,,,,,19.979515909090907,,,,,,,,,,,22.839286105263152,,,,18.41982,,,,,,,,,2.504448,,,,55.802245,,,,,
Mississippi,,,,,,,,1.7009667999999998,,,,,,19.804048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.134856666666668,,,,,,,,,,,,,,,,,,,,,,
Texas,,60.24351771264369,50.8432767413395,47.40130502040816,52.13238678421054,23.150778888888887,45.323528333333336,,1741.3220446636774,14.92869,52.188768881034484,,31.0512675,15.209910141025638,21.858890000000002,20.37462266666667,28.855115125,,,45.916813554545456,,14.87662,,30.261984999999996,28.71691,34.402564999999996,15.83523590909091,118.782675,,,19.530786800000005,43.57585,68.33862001644736,25.85810711764706,44.47002646428571,48.81756046666666,,59.5657369775281,,,,7.485428555555556,43.00424579130435,,9.14982,,42.8093925,,51.99388058333334,6.538837833333333,,24.782897499999997,50.192556427272734,,,,,,,,,,,46.30280629166666,48.48723757142857
Delaware,,,,14.613925357142858,,,,,14.92869,1.3421033333333334,,,,12.72384,,,,,,,,,,,,,11.922162499999999,,,,15.42588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
